,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,Oldtype,Newtype,Reference
0,0.0,0.0,,SN2023aew,SNIIb,Transitional,"['2024A&A...689A.182K', '2024ApJ...966..199S']"
1,1.0,1.0,,SN2020fqv,SNIIb,SNII,['2022MNRAS.512.2777T']
2,2.0,2.0,,SN2022crv,SNIb,SNIIb,"['2023ApJ...957..100G', '2024ApJ...974..316D']"
4,4.0,4.0,,SN2021gno,SNIb,CaST,"['2023MNRAS.526..279E', '2022ApJ...932...58J']"
5,5.0,5.0,,SN2019ehk,SNIb,CaST,"['2020ApJ...898..166J', '2021ApJ...907L..18D']"
6,6.0,6.0,,SN2008bo,SNIb,SNIIb,['2010ApJ...711L..40C']
7,7.0,7.0,,SN2010gx,SNIc,Transitional,['2013ApJ...770..128I']
8,8.0,8.0,,AT2017gge,Unclassified,TDE,['2022MNRAS.517...76O']
9,9.0,0.0,,SN2011hw,SNIIn,SNIbn,"['2012MNRAS.426.1905S', '2015MNRAS.449.1921P']"
10,10.0,0.0,,SN2021foa,SNIIn,Transitional,"['2022A&A...662L..10R', '2025MNRAS.537.2898G']"
11,11.0,0.0,,SN2009ip,SNIIn,Impostor,['2013ApJ...767....1P']
12,12.0,0.0,,SN2018evt,SNIa,SNIa-CSM,['2023MNRAS.519.1618Y']
13,13.0,0.0,,SN2008ge,SNIa,SNIax,['2010AJ....140.1321F']
14,14.0,0.0,,SN2020aeuh,SNIa,SNIa-CSM,['2025A&A...704A.135T']
15,15.0,0.0,,SN2020eyj,SNIa,SNIa-CSM,['2023Natur.617..477K']
16,16.0,0.0,,SN2009dc,SNIa,SNIa-pec,['2009ApJ...707L.118Y']
17,17.0,0.0,,SN2012dn,SNIa,SNIa-pec,['2014MNRAS.443.1663C']
18,18.0,0.0,,SN2022esa,SNIa-CSM,Transitional,"['2025PASJ..tmp..134M', '2025ApJ...995...54G']"
19,19.0,0.0,,SN2012Z,SNIa-pec,SNIax,"['2015A&A...573A...2S', '2013ApJ...767...57F']"
20,20.0,0.0,,SN2005hk,SNIa-pec,SNIax,['2014ApJ...786..134M']
21,21.0,0.0,,SN2011ay,SNIa-pec,SNIax,['2015MNRAS.453.2103S']
22,22.0,0.0,,SN2008ae,SNIa-pec,SNIax,['2013ApJ...767...57F']
23,23.0,0.0,,SN2007ax,SNIa,SNIa-91bg-like,['2008ApJ...683L..29K']
24,24.0,0.0,,SN2019yvq,SNIa,SNIa-pec,['2021ApJ...919..142B']
25,25.0,0.0,,SN2005ke,SNIa,SNIa-91bg-like,['2009ApJ...700.1456B']
26,26.0,0.0,,SN2022joj,SNIa,SNIa-pec,"['2023ApJ...958..178L', '2024ApJ...964..196P']"
27,0.0,,,SN2019hcc,SLSN-I,SLSN-II,['2021MNRAS.506.4819P']
28,0.0,,,SN2020faa,SNII,SNII-pec,['2021A&A...646A..22Y']
29,0.0,,,SN2018gk,SNII,SNIIb,['2021MNRAS.503.3472B']
30,0.0,,,SN2019tua,SNII,SNIIb,['2024ApJ...970..103H']
31,0.0,,,SN2018hna,SNII,SNII-pec,['2019ApJ...882L..15S']
32,0.0,,,SN2016ezh,SNII,TDE,['2017ApJ...843..106B']
33,0.0,,,SN2018bsz,SNII,SLSN-I,['2022A&A...666A..30P']
0,,,,AT2017ens,Unclassified,SLSN-I,['2018ApJ...867L..31C']
0,,,,AT2017gpn,Unclassified,SNIIb,['2021MNRAS.501.5797B']
0,,,,AT2022cmc,Unclassified,TDE,['2023NatAs...7...88P']
0,,,,AT2017err,Unclassified,SNIIn,['2022MNRAS.513.4057S']
0,,,,AT2018lqh,Unclassified,FBOT,['2021ApJ...922..247O']
0,,,,AT2022tsd,Unclassified,FBOT,['2025ApJ...993...76O']
0,,,,AT2021adxl,Unclassified,SNIIn,['2024A&A...690A.259B']
0,,,,AT2017gbl,Unclassified,TDE,['2020MNRAS.498.2167K']
0,,,,AT2016bln,Unclassified,SNIa-pec,['2024MNRAS.529.3838A']
0,,,,AT2020xnd,Unclassified,FBOT,['2022ApJ...926..112B']
0,,,,AT2016aps,Unclassified,SNIIn,['2021ApJ...908...99S']
0,,,,AT2023fhn,Unclassified,FBOT,['2024A&A...691A.329C']
