time,flux,filt,sample
-19.124999999999975,-0.040216636354653446,g,0
-19.083333333333307,-1.0245071625986917,g,0
-19.04166666666664,-1.924807565526983,g,0
-18.99999999999997,-2.7099576467890145,g,0
-18.958333333333304,-3.360851582574316,g,0
-18.916666666666636,-3.873521765143309,g,0
-18.874999999999968,-4.2555939052935265,g,0
-18.8333333333333,-4.521098181931318,g,0
-18.791666666666632,-4.686571432267357,g,0
-18.749999999999964,-4.768670981298815,g,0
-18.708333333333297,-4.782894320994906,g,0
-18.66666666666663,-4.743002149408788,g,0
-18.62499999999996,-4.6608460153159115,g,0
-18.583333333333293,-4.546413939119798,g,0
-18.541666666666625,-4.407996404787536,g,0
-18.499999999999957,-4.252386019341525,g,0
-18.45833333333329,-4.085087089944686,g,0
-18.41666666666662,-3.910519836576352,g,0
-18.374999999999954,-3.732195831150012,g,0
-18.333333333333286,-3.5528800839963814,g,0
-18.291666666666618,-3.374719983324244,g,0
-18.24999999999995,-3.1993654116461023,g,0
-18.208333333333282,-3.028058110474525,g,0
-18.166666666666615,-2.861712627208533,g,0
-18.124999999999947,-2.700981770173989,g,0
-18.08333333333328,-2.546307225478362,g,0
-18.04166666666661,-2.3979647111061375,g,0
-17.999999999999943,-2.25609936195238,g,0
-17.958333333333275,-2.120753769244466,g,0
-17.916666666666607,-1.9918907180946732,g,0
-17.87499999999994,-1.869412442855669,g,0
-17.83333333333327,-1.753176479114309,g,0
-17.791666666666604,-1.6430062033367854,g,0
-17.749999999999936,-1.538701722670453,g,0
-17.708333333333268,-1.4400468538221034,g,0
-17.6666666666666,-1.3468154718164627,g,0
-17.624999999999932,-1.2587764935125527,g,0
-17.583333333333265,-1.1756970207762656,g,0
-17.541666666666597,-1.097345721744432,g,0
-17.49999999999993,-1.0234950501097728,g,0
-17.45833333333326,-0.9539225300831511,g,0
-17.416666666666593,-0.8884122469023019,g,0
-17.374999999999925,-0.8267557518551172,g,0
-17.333333333333258,-0.7687519589392622,g,0
-17.29166666666659,-0.7142088931626844,g,0
-17.249999999999922,-0.662942007459808,g,0
-17.208333333333254,-0.6147757378750534,g,0
-17.166666666666586,-0.5695431402466333,g,0
-17.12499999999992,-0.5270849108738069,g,0
-17.08333333333325,-0.48724991862093603,g,0
-17.041666666666583,-0.4498955714444257,g,0
-16.999999999999915,-0.41488536844560997,g,0
-16.958333333333247,-0.3820914817601313,g,0
-16.91666666666658,-0.35139197541180067,g,0
-16.87499999999991,-0.3226723525518054,g,0
-16.833333333333243,-0.29582272675162713,g,0
-16.791666666666575,-0.27074162331760476,g,0
-16.749999999999908,-0.24733098606213488,g,0
-16.70833333333324,-0.22549917248723617,g,0
-16.666666666666572,-0.2051598965056023,g,0
-16.624999999999904,-0.1862305259720003,g,0
-16.583333333333236,-0.16863443455161686,g,0
-16.54166666666657,-0.1522973229061222,g,0
-16.4999999999999,-0.13715126154553303,g,0
-16.458333333333236,-0.1231296352538429,g,0
-16.416666666666565,-0.11017200633937563,g,0
-16.374999999999897,-0.09821850846107338,g,0
-16.33333333333323,-0.08721466137290435,g,0
-16.291666666666565,-0.07710835562710727,g,0
-16.249999999999893,-0.06784980641271687,g,0
-16.208333333333226,-0.05939203417204908,g,0
-16.166666666666558,-0.05169070925278518,g,0
-16.12499999999989,-0.04470411528383167,g,0
-16.083333333333222,-0.03839281082772672,g,0
-16.041666666666554,-0.03271871899355361,g,0
-15.999999999999885,-0.02764593144212668,g,0
-15.958333333333218,-0.02314158242636921,g,0
-15.91666666666655,-0.019172606321475882,g,0
-15.874999999999883,-0.015709148246475735,g,0
-15.833333333333215,-0.012722516855596666,g,0
-15.791666666666547,-0.01018474916980594,g,0
-15.74999999999988,-0.008070717291545293,g,0
-15.70833333333321,-0.006355335964091324,g,0
-15.666666666666542,-0.0050145375453176655,g,0
-15.624999999999876,-0.004027669274577761,g,0
-15.583333333333208,-0.0033722993100830934,g,0
-15.54166666666654,-0.003029299161479315,g,0
-15.499999999999872,-0.002979153135463264,g,0
-15.458333333333204,-0.0032039977225366556,g,0
-15.416666666666536,-0.0036858858762656155,g,0
-15.374999999999869,-0.0044095864760045345,g,0
-15.3333333333332,-0.005358967059628128,g,0
-15.291666666666531,-0.0065193911325600595,g,0
-15.249999999999863,-0.00787670231229498,g,0
-15.208333333333197,-0.009417564574196291,g,0
-15.16666666666653,-0.011129591052299048,g,0
-15.124999999999861,-0.01299997702425415,g,0
-15.083333333333194,-0.015017817593612648,g,0
-15.041666666666526,-0.017171857546617986,g,0
-14.999999999999858,-0.019451843213154518,g,0
-14.95833333333319,-0.02184772033188409,g,0
-14.916666666666522,-0.024350140317583424,g,0
-14.874999999999854,-0.026950370982817162,g,0
-14.833333333333186,-0.029639681522656502,g,0
-14.791666666666519,-0.03240942474485209,g,0
-14.74999999999985,-0.03525260246997064,g,0
-14.708333333333183,-0.03816192527742501,g,0
-14.666666666666515,-0.04112957262857719,g,0
-14.624999999999845,-0.04414974158021323,g,0
-14.58333333333318,-0.04721546668812593,g,0
-14.541666666666512,-0.05032105725982916,g,0
-14.499999999999844,-0.05346046243876046,g,0
-14.458333333333176,-0.05662908647730447,g,0
-14.416666666666508,-0.05982058137016821,g,0
-14.374999999999842,-0.06303082157948836,g,0
-14.333333333333172,-0.06625491691516316,g,0
-14.291666666666504,-0.06948856473715281,g,0
-14.249999999999838,-0.07272698174559622,g,0
-14.20833333333317,-0.07596717367936279,g,0
-14.1666666666665,-0.07920436982168155,g,0
-14.124999999999833,-0.0824356267380324,g,0
-14.083333333333165,-0.08565701770540457,g,0
-14.041666666666497,-0.08886582732487369,g,0
-13.99999999999983,-0.09205815700789088,g,0
-13.958333333333162,-0.09523227250751987,g,0
-13.916666666666494,-0.0983846760288003,g,0
-13.874999999999828,-0.10151269829852083,g,0
-13.833333333333158,-0.10461399794101212,g,0
-13.79166666666649,-0.10768669673056053,g,0
-13.74999999999982,-0.11072854311023406,g,0
-13.708333333333155,-0.11373664572841236,g,0
-13.666666666666487,-0.11670978485440031,g,0
-13.624999999999817,-0.11964603280114972,g,0
-13.58333333333315,-0.12254368411126038,g,0
-13.541666666666481,-0.12540080785673524,g,0
-13.499999999999815,-0.12821596000185664,g,0
-13.458333333333147,-0.1309880493643405,g,0
-13.41666666666648,-0.1337158449550806,g,0
-13.374999999999812,-0.13639778600874308,g,0
-13.333333333333144,-0.13903325674036182,g,0
-13.291666666666478,-0.1416198642494919,g,0
-13.249999999999808,-0.1441578258360039,g,0
-13.20833333333314,-0.14664573589710628,g,0
-13.166666666666474,-0.1490830327036612,g,0
-13.124999999999805,-0.15146887380434748,g,0
-13.083333333333137,-0.15380231327768001,g,0
-13.041666666666469,-0.15608283652922594,g,0
-12.9999999999998,-0.15830987539672492,g,0
-12.958333333333133,-0.16048266455533877,g,0
-12.916666666666465,-0.16260127890640064,g,0
-12.8749999999998,-0.1646646552342439,g,0
-12.83333333333313,-0.16667270245083543,g,0
-12.791666666666462,-0.16862477116623253,g,0
-12.749999999999794,-0.17052147129211903,g,0
-12.708333333333126,-0.17236151527118437,g,0
-12.66666666666646,-0.17414532312174202,g,0
-12.624999999999792,-0.17587245137199403,g,0
-12.583333333333123,-0.1775425885780173,g,0
-12.541666666666455,-0.1791565074167707,g,0
-12.499999999999787,-0.18071330501556915,g,0
-12.458333333333119,-0.1822128642649794,g,0
-12.416666666666451,-0.1836560361920938,g,0
-12.374999999999782,-0.18504194615175606,g,0
-12.333333333333115,-0.1863714856083547,g,0
-12.291666666666448,-0.18764396021640195,g,0
-12.24999999999978,-0.18886020280772087,g,0
-12.208333333333112,-0.19001980183665879,g,0
-12.166666666666446,-0.19112329009266205,g,0
-12.124999999999776,-0.19217100998608672,g,0
-12.08333333333311,-0.19316236650911023,g,0
-12.041666666666442,-0.1940983985557878,g,0
-11.999999999999773,-0.19497944497722486,g,0
-11.958333333333105,-0.1958048122019136,g,0
-11.916666666666439,-0.1965754628508769,g,0
-11.874999999999767,-0.19729210122025265,g,0
-11.833333333333103,-0.19795443084744235,g,0
-11.791666666666433,-0.19856267076671585,g,0
-11.749999999999766,-0.1991178786340413,g,0
-11.708333333333096,-0.1996195270746739,g,0
-11.666666666666428,-0.20006872095938277,g,0
-11.62499999999976,-0.2004657903570788,g,0
-11.583333333333096,-0.2008105474631563,g,0
-11.541666666666428,-0.20110431197864997,g,0
-11.499999999999758,-0.20134634561103937,g,0
-11.458333333333092,-0.2015385765320481,g,0
-11.416666666666423,-0.20167997396646697,g,0
-11.374999999999753,-0.20177207900160354,g,0
-11.333333333333085,-0.20181473401188654,g,0
-11.291666666666417,-0.20180834868483544,g,0
-11.249999999999753,-0.20175377204632738,g,0
-11.208333333333082,-0.20165116091439472,g,0
-11.166666666666416,-0.2015011580249677,g,0
-11.124999999999748,-0.2013046829234213,g,0
-11.083333333333078,-0.20106170686352343,g,0
-11.041666666666412,-0.2007727294531172,g,0
-10.999999999999744,-0.20043833585888393,g,0
-10.958333333333075,-0.20005906355812186,g,0
-10.916666666666409,-0.19963502824320756,g,0
-10.87499999999974,-0.1991678089883564,g,0
-10.833333333333073,-0.19865677329143594,g,0
-10.791666666666405,-0.1981030194451705,g,0
-10.749999999999737,-0.19750672970222283,g,0
-10.708333333333067,-0.19686896109470453,g,0
-10.6666666666664,-0.19619008017608763,g,0
-10.624999999999732,-0.19546992497584625,g,0
-10.583333333333067,-0.19470999733142946,g,0
-10.541666666666396,-0.19391032503384764,g,0
-10.499999999999732,-0.1930719735345079,g,0
-10.458333333333062,-0.19219434415503045,g,0
-10.416666666666393,-0.1912785659141214,g,0
-10.374999999999725,-0.19032580854856107,g,0
-10.333333333333057,-0.1893355547120592,g,0
-10.291666666666389,-0.1883089032580969,g,0
-10.249999999999721,-0.18724661616134242,g,0
-10.208333333333053,-0.1861481360186268,g,0
-10.166666666666389,-0.18501556507571593,g,0
-10.124999999999721,-0.183847940862222,g,0
-10.083333333333053,-0.18264700903240438,g,0
-10.041666666666384,-0.1814123892632047,g,0
-9.999999999999718,-0.18014516349821363,g,0
-9.958333333333048,-0.1788455265085993,g,0
-9.916666666666382,-0.1775139111986448,g,0
-9.874999999999714,-0.17615155488531897,g,0
-9.833333333333044,-0.17475820809785603,g,0
-9.791666666666378,-0.17333438295155545,g,0
-9.74999999999971,-0.17188078078984148,g,0
-9.70833333333304,-0.17039862029072594,g,0
-9.666666666666373,-0.16888675858515612,g,0
-9.624999999999705,-0.16734701823593312,g,0
-9.583333333333039,-0.1657798845831806,g,0
-9.541666666666368,-0.16418577937016465,g,0
-9.499999999999702,-0.162564534866803,g,0
-9.458333333333032,-0.16091685709332282,g,0
-9.416666666666368,-0.15924412111293762,g,0
-9.374999999999698,-0.1575452909267412,g,0
-9.333333333333028,-0.1558223916556294,g,0
-9.291666666666362,-0.15407504101756686,g,0
-9.249999999999693,-0.15230350580890217,g,0
-9.208333333333025,-0.15050905713929907,g,0
-9.166666666666357,-0.14869136217923895,g,0
-9.124999999999693,-0.1468515451184338,g,0
-9.083333333333021,-0.1449899077300465,g,0
-9.041666666666355,-0.14310637484611277,g,0
-8.99999999999969,-0.14120217741897534,g,0
-8.958333333333021,-0.13927715483595549,g,0
-8.91666666666635,-0.13733268584175562,g,0
-8.874999999999682,-0.1353676960768091,g,0
-8.833333333333014,-0.13338384249442115,g,0
-8.791666666666348,-0.13138103005096724,g,0
-8.74999999999968,-0.129360313785007,g,0
-8.70833333333301,-0.1273208821825449,g,0
-8.666666666666345,-0.12526473971402297,g,0
-8.624999999999678,-0.1231911122921936,g,0
-8.583333333333007,-0.1211009237302747,g,0
-8.541666666666341,-0.11899458564469967,g,0
-8.499999999999675,-0.11687232500027278,g,0
-8.458333333333004,-0.11473484628989183,g,0
-8.416666666666336,-0.11258248215612454,g,0
-8.374999999999668,-0.11041532398954601,g,0
-8.333333333333004,-0.108233960641968,g,0
-8.291666666666332,-0.10603900928554921,g,0
-8.249999999999666,-0.10383019746452504,g,0
-8.208333333332996,-0.10160868125469946,g,0
-8.166666666666329,-0.0993743001612053,g,0
-8.124999999999664,-0.09712803745563292,g,0
-8.083333333332993,-0.0948698048740475,g,0
-8.041666666666329,-0.09260018737056441,g,0
-7.999999999999657,-0.09031914161967691,g,0
-7.958333333332993,-0.08802760777923524,g,0
-7.916666666666325,-0.08572528025657178,g,0
-7.874999999999657,-0.08341346339297218,g,0
-7.8333333333329875,-0.0810915457093202,g,0
-7.791666666666318,-0.07876045206878857,g,0
-7.749999999999652,-0.07642107290789468,g,0
-7.708333333332984,-0.07407214741626689,g,0
-7.666666666666314,-0.07171538763356367,g,0
-7.62499999999965,-0.06935053021993198,g,0
-7.58333333333298,-0.06697811526119324,g,0
-7.541666666666311,-0.06459876368646533,g,0
-7.499999999999643,-0.06221147534338556,g,0
-7.458333333332977,-0.05981821275600652,g,0
-7.416666666666307,-0.05741843044371109,g,0
-7.374999999999643,-0.05501320076928451,g,0
-7.333333333332973,-0.05260149944532344,g,0
-7.291666666666304,-0.05018500483069133,g,0
-7.249999999999638,-0.047763250570564963,g,0
-7.2083333333329715,-0.04533676477889159,g,0
-7.166666666666302,-0.04290619142878782,g,0
-7.124999999999636,-0.040470914419135084,g,0
-7.083333333332968,-0.03803196616398097,g,0
-7.041666666666297,-0.03558905078991259,g,0
-6.999999999999629,-0.033143423809598005,g,0
-6.958333333332963,-0.03069462197816719,g,0
-6.916666666666297,-0.028243356717151613,g,0
-6.874999999999625,-0.02578958391791275,g,0
-6.833333333332959,-0.02333321244562825,g,0
-6.7916666666662895,-0.020874895394058512,g,0
-6.749999999999623,-0.01841562384042561,g,0
-6.708333333332954,-0.015954533239117552,g,0
-6.6666666666662895,-0.013492535868884659,g,0
-6.62499999999962,-0.011029179512380693,g,0
-6.583333333332952,-0.008565517603944528,g,0
-6.541666666666286,-0.0061018203732672305,g,0
-6.499999999999616,-0.003637590583561945,g,0
-6.45833333333295,-0.0011738270072996215,g,0
-6.416666666666284,0.0012894001765992869,g,0
-6.374999999999616,0.0037521032280203315,g,0
-6.3333333333329485,0.006214184601969208,g,0
-6.291666666666279,0.008675308107502389,g,0
-6.249999999999607,0.011134680274992093,g,0
-6.208333333332945,0.013592884820354811,g,0
-6.1666666666662735,0.01604890573180029,g,0
-6.124999999999604,0.018503334252038428,g,0
-6.083333333332936,0.02095524311081931,g,0
-6.04166666666627,0.02340466826544585,g,0
-5.999999999999604,0.025851413561557735,g,0
-5.9583333333329325,0.028295511153384467,g,0
-5.916666666666265,0.030735930341261763,g,0
-5.8749999999995985,0.03317381909694106,g,0
-5.833333333332934,0.03560793987520228,g,0
-5.791666666666261,0.03803835576101022,g,0
-5.749999999999597,0.0404650225878207,g,0
-5.708333333332929,0.04288738998299735,g,0
-5.666666666666259,0.04530581815847512,g,0
-5.624999999999593,0.04771923757359531,g,0
-5.583333333332924,0.05012798371022953,g,0
-5.541666666666254,0.052532530557620305,g,0
