time,mag,magerr,band
59445.456393838926,18.412747010378578,0.01298268272618491,R
59446.24806050559,19.29235262861826,0.07046385327840356,g
59448.206393838926,19.409501125503603,0.037580889352560404,R
59448.289727172254,20.031398827394156,0.0660221912134784,g
59450.49806050559,19.147151027994212,0.057144130396996395,R
59452.664727172254,18.784316501144495,0.052958482527221434,R
59453.164727172254,19.23698054229029,0.056862196060441156,g
59454.956393838926,18.58703915762161,0.02793735936310571,R
59455.99806050559,18.86880177898755,0.048493858420559297,g
59458.914727172254,19.02425538360422,0.042192242604657745,g
59461.081393838926,18.76212591118681,0.052986705420805275,R
59461.331393838926,19.22831186089511,0.08792820724238455,g
59463.289727172254,18.70456518262626,0.022290427228576184,R
59465.789727172254,18.930305259369458,0.05047892100568334,R
59468.164727172254,19.990460864199655,0.06898516400597064,g
59468.831393838926,19.258095412431643,0.03431871346326181,R
59470.539727172254,20.183903520780756,0.05695683222671659,g
59470.99806050559,19.37419097746379,0.03579546009476912,R
59472.789727172254,20.225093655087907,0.055737975030065084,g
59478.039727172254,20.67089460302573,0.041347619397618475,g
59480.206393838926,20.738911852296283,0.07685751287850566,g
59481.62306050559,20.009179505949852,0.02134090262817609,R
59483.081393838926,21.283676463526078,0.056691821082051286,g
59485.539727172254,21.312584620077303,0.05551112523500516,g
59487.206393838926,20.339725623599378,0.04976681011946876,R
59489.49806050559,20.705654604297457,0.016171032967254906,R
59490.74806050559,21.806488184464172,0.06648758878834413,g
59492.581393838926,20.85268819130376,0.04056389455730578,R
59494.99806050559,22.011082937618106,0.044435058478698206,g
59496.62306050559,20.84768109573701,0.03985407624192077,R
59497.206393838926,21.870416056601602,0.08522605944742032,g
59499.039727172254,21.146157890150135,0.032296960977331576,R
59500.74806050559,22.095683316073227,0.04256907018967401,g
59502.12306050559,21.070298539275896,0.03098569549456776,R
59503.039727172254,22.35237961712011,0.07545332227948087,g
59505.24806050559,22.844960262456922,0.07862064458932509,g
59505.539727172254,21.431784929784282,0.030646479859388946,R
