time,mag,magerr,band
58934.01038716471,20.79251406902161,0.07639881959484565,R
58934.92705383137,21.757468464949184,0.15548830445771192,g
58937.42705383137,21.615056208027546,0.16193240059710343,g
58937.96872049804,21.201541157913358,0.07265133266279127,R
58940.42705383137,20.444104369198925,0.06496216895078658,R
58944.26038716471,20.542658097732023,0.15788052122643906,g
58946.05205383137,19.633916478689454,0.07783518495284726,R
58946.63538716471,19.644459300540152,0.1324805906588696,g
58949.76038716471,19.84399221081494,0.07590338688315394,R
58951.59372049804,19.82025224007375,0.18075290119972381,g
58951.84372049804,19.94811017177907,0.10263072259379316,R
58954.34372049804,20.793185045298202,0.16156182998748206,g
58955.96872049804,19.617539404908424,0.06728857191574622,R
58958.13538716471,19.92347784484854,0.08599918473817537,R
58958.30205383137,20.441410334955087,0.17958054494035075,g
58960.42705383137,20.586025218894523,0.09648549923118994,R
58960.46872049804,21.292679811898495,0.13379775012880496,g
58963.76038716471,21.546133469455924,0.16793087563490716,g
58963.88538716471,20.386386459029403,0.06037286125950321,R
58966.01038716471,21.668024282027183,0.13827988708730454,g
58966.34372049804,20.545618458517993,0.06155002296621858,R
58970.21872049804,20.996002952769995,0.09330621615059975,R
58970.71872049804,21.886326253896954,0.16078487418829918,g
58972.46872049804,20.81438673897602,0.06189351938888451,R
58973.71872049804,21.776320720802516,0.1617923626104743,g
58975.71872049804,21.068552242431707,0.06401589222924432,R
58979.26038716471,21.95860266235355,0.15822693973546312,g
58980.30205383137,21.547018127827094,0.06774011194525578,R
58983.26038716471,22.057160059979296,0.13634173924862872,g
58985.51038716471,21.754869947309196,0.08308250528066305,R
58986.55205383137,22.508145901093243,0.13616231546701907,g
58988.51038716471,21.950929071380976,0.0701093684129138,R
58988.84372049804,22.2099717118128,0.16080443314716014,g
58990.76038716471,22.186226919587092,0.05339350878990379,R
58990.96872049804,22.69350582181687,0.1755467956691617,g
58993.63538716471,22.421290504136152,0.16113947797295947,g
58994.59372049804,22.49979002371687,0.09521671765671821,R
58996.34372049804,23.310712044521203,0.16136864216110325,g
58996.84372049804,22.244418467740388,0.061252819490216076,R
